"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,352,003","±34,574","4,168,720","±39,147","(X)","(X)","55","±1","36.0%","±0.4"
"15 to 19 years","10,751,573","±28,890","282,737","±9,494","6.8%","±0.2","26","±1","83.8%","±1.3"
"20 to 34 years","30,996,555","±26,162","3,050,755","±31,509","73.2%","±0.3","98","±1","36.3%","±0.5"
"35 to 50 years","34,603,875","±30,525","835,228","±14,769","20.0%","±0.3","24","±1","18.9%","±0.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,416,707","±46,944","4,059,409","±37,846","97.4%","±0.1","55","±1","35.7%","±0.4"
"        White","54,382,517","±49,876","2,812,482","±29,549","67.5%","±0.4","52","±1","29.1%","±0.5"
"        Black or African American","10,705,227","±22,140","634,585","±15,613","15.2%","±0.3","59","±1","67.5%","±1.1"
"        American Indian and Alaska Native","681,545","±10,069","50,196","±4,415","1.2%","±0.1","74","±6","57.7%","±3.5"
"        Asian","4,320,327","±15,139","234,796","±7,664","5.6%","±0.2","54","±2","11.1%","±1.1"
"        Native Hawaiian and Other Pacific Islander","141,445","±4,324","10,930","±1,878","0.3%","±0.1","77","±13","36.3%","±7.2"
"        Some other race","4,185,646","±36,334","316,420","±10,029","7.6%","±0.2","76","±2","45.0%","±1.6"
"    Two or more races","1,935,296","±28,988","109,311","±5,918","2.6%","±0.1","56","±3","47.6%","±2.6"
"Hispanic or Latino origin (of any race)","13,642,816","±15,637","969,388","±18,018","23.3%","±0.4","71","±1","42.9%","±1.0"
"White alone, not Hispanic or Latino","45,739,240","±24,425","2,214,288","±24,767","53.1%","±0.4","48","±1","26.1%","±0.5"
"NATIVITY","","","","","","","","","",""
"    Native","63,808,785","±49,653","3,287,227","±31,412","78.9%","±0.3","52","±1","39.1%","±0.5"
"    Foreign born","12,543,218","±45,100","881,493","±17,582","21.1%","±0.3","70","±1","24.5%","±0.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","14,171,255","±58,666","708,722","±16,484","17.0%","±0.3","50","±1","57.0%","±1.0"
"    High school graduate (includes equivalency)","17,155,150","±65,644","1,017,196","±18,654","24.4%","±0.4","59","±1","49.0%","±1.0"
"    Some college or associate's degree","25,373,088","±63,301","1,292,972","±23,074","31.0%","±0.4","51","±1","38.7%","±0.9"
"    Bachelor's degree","13,501,989","±64,436","743,518","±13,179","17.8%","±0.3","55","±1","10.3%","±0.6"
"    Graduate or professional degree","6,150,521","±45,211","406,312","±10,089","9.7%","±0.2","66","±2","5.4%","±0.6"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,708,468","±42,106","4,155,384","±39,477","(X)","(X)","56","±1","35.9%","±0.4"
"    Below 100 percent of poverty level","13,490,384","±74,343","1,151,911","±18,992","27.7%","±0.3","85","±1","65.6%","±0.8"
"    100 to 199 percent of poverty level","14,099,688","±80,324","900,442","±17,643","21.7%","±0.3","64","±1","40.2%","±1.0"
"    200 percent or more above poverty level","47,118,396","±104,162","2,103,031","±23,049","50.6%","±0.4","45","±1","17.7%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,310,454","±42,844","4,159,547","±39,089","(X)","(X)","56","±1","35.9%","±0.4"
"    In labor force","53,324,156","±71,244","2,561,965","±31,344","61.6%","±0.4","48","±1","36.3%","±0.5"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,352,003","±34,574","4,168,720","±39,147","(X)","(X)","55","±1","36.0%","±0.4"
"    Received public assistance income","1,958,446","±26,230","277,227","±9,841","6.7%","±0.2","142","±5","71.2%","±1.6"
"    Did not receive public assistance income","74,393,557","±45,208","3,891,493","±36,958","93.3%","±0.2","52","±1","33.5%","±0.4"
"PERCENT IMPUTED","","","","","","","","","",""
"    Marital status","3.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","3.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
