"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,857,068","±34,318","3,956,960","±30,916","(X)","(X)","51","±1","33.9%","±0.4"
"    15 to 19 years","10,472,771","±30,231","122,217","±6,166","3.1%","±0.2","12","±1","86.4%","±1.8"
"    20 to 34 years","32,960,008","±24,969","2,832,453","±28,062","71.6%","±0.4","86","±1","36.4%","±0.5"
"    35 to 50 years","33,424,289","±32,746","1,002,290","±18,143","25.3%","±0.4","30","±1","20.5%","±0.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","74,196,255","±51,077","3,820,200","±29,537","96.5%","±0.2","51","±1","33.5%","±0.4"
"            White","52,825,960","±50,609","2,676,023","±23,145","67.6%","±0.4","51","±1","28.2%","±0.5"
"            Black or African American","10,835,279","±33,439","586,546","±16,807","14.8%","±0.4","54","±2","62.9%","±1.2"
"            American Indian and Alaska Native","700,940","±11,315","41,092","±3,228","1.0%","±0.1","59","±4","59.3%","±4.2"
"            Asian","5,269,281","±18,453","263,152","±8,899","6.7%","±0.2","50","±2","9.9%","±1.0"
"            Native Hawaiian and Other Pacific Islander","171,834","±6,708","11,442","±1,637","0.3%","±0.1","67","±10","39.1%","±7.4"
"            Some other race","4,392,961","±45,372","241,945","±9,021","6.1%","±0.2","55","±2","42.1%","±1.7"
"        Two or more races","2,660,813","±36,046","136,760","±6,528","3.5%","±0.2","51","±3","46.0%","±2.2"
"        Hispanic or Latino origin (of any race)","15,695,111","±21,500","867,745","±18,028","21.9%","±0.4","55","±1","41.3%","±1.1"
"        White alone, not Hispanic or Latino","42,562,402","±19,464","2,111,164","±19,905","53.4%","±0.4","50","±1","25.0%","±0.6"
"    NATIVITY","","","","","","","","","",""
"        Native","63,909,910","±62,410","3,170,229","±28,985","80.1%","±0.4","50","±1","37.0%","±0.5"
"        Foreign born","12,947,158","±62,396","786,731","±16,385","19.9%","±0.4","61","±1","21.7%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","12,519,966","±56,424","449,060","±11,816","11.3%","±0.3","36","±1","53.5%","±1.4"
"        High school graduate (includes equivalency)","16,065,374","±79,272","928,058","±18,843","23.5%","±0.4","58","±1","52.1%","±0.8"
"        Some college or associate's degree","24,111,302","±76,968","1,201,310","±20,975","30.4%","±0.5","50","±1","39.5%","±0.8"
"        Bachelor's degree","15,692,255","±68,662","851,894","±18,385","21.5%","±0.4","54","±1","12.7%","±0.7"
"        Graduate or professional degree","8,468,171","±55,236","526,638","±12,334","13.3%","±0.3","62","±1","6.8%","±0.7"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","75,087,522","±37,536","3,945,566","±30,948","(X)","(X)","53","±1","33.8%","±0.4"
"        Below 100 percent of poverty level","11,484,450","±73,281","883,722","±14,932","22.4%","±0.3","77","±1","67.1%","±0.9"
"        100 to 199 percent of poverty level","13,176,393","±77,293","797,006","±15,777","20.2%","±0.4","60","±1","40.8%","±0.9"
"        200 percent or more above poverty level","50,426,679","±105,424","2,264,838","±21,672","57.4%","±0.3","45","±1","18.4%","±0.4"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,826,886","±38,064","3,950,099","±30,689","(X)","(X)","53","±1","33.8%","±0.4"
"        In labor force","54,785,780","±72,017","2,560,460","±24,914","64.8%","±0.4","47","±1","34.8%","±0.5"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,857,068","±34,318","3,956,960","±30,916","(X)","(X)","51","±1","33.9%","±0.4"
"        Received public assistance income","1,454,772","±21,250","171,706","±6,868","4.3%","±0.2","118","±4","68.0%","±2.0"
"        Did not receive public assistance income","75,402,296","±41,779","3,785,254","±30,058","95.7%","±0.2","50","±1","32.4%","±0.4"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","6.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","8.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
