"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,483,611","±31,069","3,946,903","±36,746","(X)","(X)","52","±1","35.0%","±0.4"
"15 to 19 years","10,500,178","±24,711","148,036","±6,768","3.8%","±0.2","14","±1","85.2%","±1.3"
"20 to 34 years","32,758,858","±26,685","2,930,214","±31,892","74.2%","±0.4","89","±1","36.7%","±0.4"
"35 to 50 years","33,224,575","±29,396","868,653","±14,994","22.0%","±0.3","26","±1","20.7%","±0.9"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,062,222","±45,327","3,821,502","±36,316","96.8%","±0.2","52","±1","34.7%","±0.4"
"        White","52,906,089","±42,376","2,674,142","±31,171","67.8%","±0.5","51","±1","29.3%","±0.6"
"        Black or African American","10,787,003","±27,690","586,241","±14,426","14.9%","±0.3","54","±1","63.8%","±1.3"
"        American Indian and Alaska Native","677,023","±11,392","40,371","±3,613","1.0%","±0.1","60","±5","56.1%","±3.7"
"        Asian","5,037,357","±17,145","257,022","±8,317","6.5%","±0.2","51","±2","10.9%","±0.9"
"        Native Hawaiian and Other Pacific Islander","168,734","±4,889","10,167","±2,071","0.3%","±0.1","60","±12","48.6%","±9.0"
"        Some other race","4,486,016","±40,816","253,559","±7,916","6.4%","±0.2","57","±2","43.5%","±1.9"
"    Two or more races","2,421,389","±30,271","125,401","±7,626","3.2%","±0.2","52","±3","45.0%","±2.5"
"Hispanic or Latino origin (of any race)","15,152,184","±13,887","874,722","±17,263","22.2%","±0.4","58","±1","42.3%","±1.0"
"White alone, not Hispanic or Latino","43,167,649","±20,934","2,106,390","±25,174","53.4%","±0.4","49","±1","26.2%","±0.6"
"NATIVITY","","","","","","","","","",""
"    Native","63,553,425","±58,247","3,165,179","±31,287","80.2%","±0.4","50","±1","38.1%","±0.4"
"    Foreign born","12,930,186","±56,256","781,724","±16,389","19.8%","±0.4","60","±1","22.3%","±0.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","13,084,926","±54,835","497,711","±11,063","12.6%","±0.3","38","±1","55.2%","±1.4"
"    High school graduate (includes equivalency)","16,013,841","±75,996","920,064","±17,896","23.3%","±0.4","57","±1","51.1%","±0.9"
"    Some college or associate's degree","24,668,787","±69,385","1,230,069","±20,699","31.2%","±0.4","50","±1","40.6%","±0.7"
"    Bachelor's degree","14,974,504","±65,972","813,125","±14,857","20.6%","±0.3","54","±1","13.0%","±0.7"
"    Graduate or professional degree","7,741,553","±49,523","485,934","±11,070","12.3%","±0.3","63","±1","6.4%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,730,597","±31,261","3,936,411","±36,862","(X)","(X)","53","±1","34.9%","±0.4"
"        Below 100 percent of poverty level","12,394,612","±74,985","962,934","±18,038","24.5%","±0.4","78","±1","66.9%","±0.8"
"        100 to 199 percent of poverty level","13,435,492","±69,939","815,585","±17,820","20.7%","±0.4","61","±1","40.6%","±1.0"
"        200 percent or more above poverty level","48,900,493","±91,187","2,157,892","±27,562","54.8%","±0.5","44","±1","18.4%","±0.4"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,434,298","±34,591","3,939,144","±36,652","(X)","(X)","53","±1","34.9%","±0.4"
"        In labor force","53,784,287","±71,755","2,493,453","±30,580","63.3%","±0.4","46","±1","36.4%","±0.5"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,483,611","±31,069","3,946,903","±36,746","(X)","(X)","52","±1","35.0%","±0.4"
"        Received public assistance income","1,611,875","±22,203","200,903","±8,181","5.1%","±0.2","125","±5","68.6%","±1.8"
"        Did not receive public assistance income","74,871,736","±36,812","3,746,000","±37,362","94.9%","±0.2","50","±1","33.2%","±0.4"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","5.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","7.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
