"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"    15 to 19 years","10,449,871","±27,410","110,459","±6,740","2.8%","±0.2","11","±1","86.4%","±2.1"
"    20 to 34 years","32,933,396","±29,410","2,773,193","±28,655","71.5%","±0.4","84","±1","34.9%","±0.6"
"    35 to 50 years","33,496,304","±37,663","994,230","±18,203","25.6%","±0.4","30","±1","20.9%","±0.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","74,179,173","±60,015","3,743,194","±29,640","96.5%","±0.2","50","±1","32.5%","±0.5"
"            White","52,648,175","±49,905","2,628,122","±24,041","67.8%","±0.5","50","±1","26.8%","±0.5"
"            Black or African American","10,908,109","±36,892","567,631","±17,150","14.6%","±0.4","52","±2","62.9%","±1.5"
"            American Indian and Alaska Native","708,275","±12,660","35,367","±3,250","0.9%","±0.1","50","±4","58.9%","±4.0"
"            Asian","5,281,751","±17,006","252,552","±7,950","6.5%","±0.2","48","±1","10.0%","±1.1"
"            Native Hawaiian and Other Pacific Islander","172,393","±7,116","10,025","±2,004","0.3%","±0.1","58","±11","50.5%","±9.9"
"            Some other race","4,460,470","±44,318","249,497","±9,284","6.4%","±0.2","56","±2","41.1%","±2.0"
"        Two or more races","2,700,398","±41,258","134,688","±7,753","3.5%","±0.2","50","±3","40.7%","±2.4"
"        Hispanic or Latino origin (of any race)","15,869,681","±22,244","864,844","±18,065","22.3%","±0.4","54","±1","40.4%","±1.0"
"        White alone, not Hispanic or Latino","42,308,780","±20,070","2,066,688","±21,543","53.3%","±0.5","49","±1","23.6%","±0.6"
"    NATIVITY","","","","","","","","","",""
"        Native","64,041,016","±73,247","3,144,037","±31,873","81.1%","±0.4","49","±1","35.7%","±0.6"
"        Foreign born","12,838,555","±65,782","733,845","±15,201","18.9%","±0.4","57","±1","20.2%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","12,354,406","±61,002","423,188","±13,965","10.9%","±0.3","34","±1","52.1%","±1.6"
"        High school graduate (includes equivalency)","16,058,268","±79,183","899,106","±16,148","23.2%","±0.4","56","±1","50.1%","±1.2"
"        Some college or associate's degree","23,726,891","±70,345","1,176,144","±20,007","30.3%","±0.5","50","±1","39.2%","±0.8"
"        Bachelor's degree","16,023,912","±78,212","848,593","±16,439","21.9%","±0.4","53","±1","12.2%","±0.6"
"        Graduate or professional degree","8,716,094","±57,883","530,851","±11,241","13.7%","±0.3","61","±1","6.8%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","75,108,636","±51,346","3,865,281","±31,905","(X)","(X)","51","±1","32.6%","±0.5"
"        Below 100 percent of poverty level","10,710,505","±73,562","792,565","±18,706","20.5%","±0.4","74","±2","67.5%","±1.2"
"        100 to 199 percent of poverty level","12,757,677","±81,695","777,748","±15,747","20.1%","±0.4","61","±1","41.3%","±1.1"
"        200 percent or more above poverty level","51,640,454","±111,133","2,294,968","±25,665","59.4%","±0.5","44","±1","17.6%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,826,006","±52,632","3,872,204","±31,895","(X)","(X)","52","±1","32.7%","±0.5"
"        In labor force","55,265,605","±90,158","2,548,687","±29,159","65.8%","±0.5","46","±1","33.2%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"        Received public assistance income","1,339,850","±18,859","149,594","±8,884","3.9%","±0.2","112","±7","70.3%","±2.3"
"        Did not receive public assistance income","75,539,721","±52,688","3,728,288","±31,179","96.1%","±0.2","49","±1","31.3%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
